property_type,listing_type,price,area_sqft,bhk,bedrooms,floor,total_floors,property_age_years,furnishing,parking,city,amenities,title,description
plot,sale,11106000.0,1923,4,4,0,12,15,semi-furnished,0,Hebbal,parking|security|clubhouse|power backup|swimming pool,4 BHK Plot for Sale in Hebbal,"Beautiful 4 BHK plot for sale in Hebbal, Bangalore. Area: 1923 sqft. Semi-Furnished. Floor 0/12. Age: 15 yrs. Amenities: parking, security, clubhouse, power backup, swimming pool."
apartment,rent,29000.0,1161,3,3,0,13,11,furnished,2,Vijayanagar,swimming pool|clubhouse|power backup|lift,3 BHK Apartment for Rent in Vijayanagar,"Beautiful 3 BHK apartment for rent in Vijayanagar, Bangalore. Area: 1161 sqft. Furnished. Floor 0/13. Age: 11 yrs. Amenities: swimming pool, clubhouse, power backup, lift."
apartment,rent,73000.0,2551,3,3,5,13,23,semi-furnished,2,HSR Layout,parking|swimming pool|clubhouse|gym|lift,3 BHK Apartment for Rent in HSR Layout,"Beautiful 3 BHK apartment for rent in HSR Layout, Bangalore. Area: 2551 sqft. Semi-Furnished. Floor 5/13. Age: 23 yrs. Amenities: parking, swimming pool, clubhouse, gym, lift."
villa,sale,33902000.0,2842,3,3,6,17,4,furnished,0,Koramangala,power backup|lift,3 BHK Villa for Sale in Koramangala,"Beautiful 3 BHK villa for sale in Koramangala, Bangalore. Area: 2842 sqft. Furnished. Floor 6/17. Age: 4 yrs. Amenities: power backup, lift."
house,sale,20237000.0,3573,2,2,10,10,23,unfurnished,2,Hennur,garden|security|clubhouse,2 BHK House for Sale in Hennur,"Beautiful 2 BHK house for sale in Hennur, Bangalore. Area: 3573 sqft. Unfurnished. Floor 10/10. Age: 23 yrs. Amenities: garden, security, clubhouse."
apartment,sale,13066000.0,1302,3,3,12,14,15,unfurnished,0,Malleswaram,swimming pool|security|parking|lift,3 BHK Apartment for Sale in Malleswaram,"Beautiful 3 BHK apartment for sale in Malleswaram, Bangalore. Area: 1302 sqft. Unfurnished. Floor 12/14. Age: 15 yrs. Amenities: swimming pool, security, parking, lift."
apartment,sale,20331000.0,3167,4,4,1,11,2,semi-furnished,1,Marathahalli,parking|power backup,4 BHK Apartment for Sale in Marathahalli,"Beautiful 4 BHK apartment for sale in Marathahalli, Bangalore. Area: 3167 sqft. Semi-Furnished. Floor 1/11. Age: 2 yrs. Amenities: parking, power backup."
plot,sale,19596000.0,3959,4,4,6,19,6,unfurnished,0,BTM Layout,parking|swimming pool|security|clubhouse,4 BHK Plot for Sale in BTM Layout,"Beautiful 4 BHK plot for sale in BTM Layout, Bangalore. Area: 3959 sqft. Unfurnished. Floor 6/19. Age: 6 yrs. Amenities: parking, swimming pool, security, clubhouse."
house,sale,21168000.0,3736,1,1,1,14,13,semi-furnished,2,Whitefield,power backup|swimming pool|garden,1 BHK House for Sale in Whitefield,"Beautiful 1 BHK house for sale in Whitefield, Bangalore. Area: 3736 sqft. Semi-Furnished. Floor 1/14. Age: 13 yrs. Amenities: power backup, swimming pool, garden."
apartment,sale,18524000.0,2822,1,1,1,10,15,semi-furnished,1,Vijayanagar,gym|power backup,1 BHK Apartment for Sale in Vijayanagar,"Beautiful 1 BHK apartment for sale in Vijayanagar, Bangalore. Area: 2822 sqft. Semi-Furnished. Floor 1/10. Age: 15 yrs. Amenities: gym, power backup."
apartment,sale,9574000.0,836,3,3,12,16,18,furnished,2,Jayanagar,power backup,3 BHK Apartment for Sale in Jayanagar,"Beautiful 3 BHK apartment for sale in Jayanagar, Bangalore. Area: 836 sqft. Furnished. Floor 12/16. Age: 18 yrs. Amenities: power backup."
apartment,rent,82000.0,2855,3,3,14,19,3,furnished,2,Malleswaram,parking|gym,3 BHK Apartment for Rent in Malleswaram,"Beautiful 3 BHK apartment for rent in Malleswaram, Bangalore. Area: 2855 sqft. Furnished. Floor 14/19. Age: 3 yrs. Amenities: parking, gym."
apartment,sale,12949000.0,2284,2,2,9,10,21,semi-furnished,0,Sarjapur Road,parking|swimming pool,2 BHK Apartment for Sale in Sarjapur Road,"Beautiful 2 BHK apartment for sale in Sarjapur Road, Bangalore. Area: 2284 sqft. Semi-Furnished. Floor 9/10. Age: 21 yrs. Amenities: parking, swimming pool."
house,sale,11073000.0,2097,3,3,11,14,3,semi-furnished,2,Yelahanka,swimming pool|lift|clubhouse,3 BHK House for Sale in Yelahanka,"Beautiful 3 BHK house for sale in Yelahanka, Bangalore. Area: 2097 sqft. Semi-Furnished. Floor 11/14. Age: 3 yrs. Amenities: swimming pool, lift, clubhouse."
plot,rent,30000.0,2622,3,3,6,10,20,unfurnished,0,Whitefield,swimming pool|garden|clubhouse|power backup|lift,3 BHK Plot for Rent in Whitefield,"Beautiful 3 BHK plot for rent in Whitefield, Bangalore. Area: 2622 sqft. Unfurnished. Floor 6/10. Age: 20 yrs. Amenities: swimming pool, garden, clubhouse, power backup, lift."
house,sale,6833000.0,1524,1,1,5,11,8,unfurnished,2,Hennur,swimming pool|garden,1 BHK House for Sale in Hennur,"Beautiful 1 BHK house for sale in Hennur, Bangalore. Area: 1524 sqft. Unfurnished. Floor 5/11. Age: 8 yrs. Amenities: swimming pool, garden."
house,rent,15000.0,728,2,2,5,15,21,semi-furnished,0,Marathahalli,parking|security|gym|swimming pool,2 BHK House for Rent in Marathahalli,"Beautiful 2 BHK house for rent in Marathahalli, Bangalore. Area: 728 sqft. Semi-Furnished. Floor 5/15. Age: 21 yrs. Amenities: parking, security, gym, swimming pool."
villa,sale,35339000.0,3620,3,3,11,18,21,semi-furnished,0,HSR Layout,swimming pool|lift|power backup|gym,3 BHK Villa for Sale in HSR Layout,"Beautiful 3 BHK villa for sale in HSR Layout, Bangalore. Area: 3620 sqft. Semi-Furnished. Floor 11/18. Age: 21 yrs. Amenities: swimming pool, lift, power backup, gym."
apartment,sale,26547000.0,3996,3,3,4,9,23,semi-furnished,1,JP Nagar,power backup,3 BHK Apartment for Sale in JP Nagar,"Beautiful 3 BHK apartment for sale in JP Nagar, Bangalore. Area: 3996 sqft. Semi-Furnished. Floor 4/9. Age: 23 yrs. Amenities: power backup."
apartment,sale,6428000.0,1139,2,2,9,18,5,furnished,2,Sarjapur Road,clubhouse|garden|parking|swimming pool,2 BHK Apartment for Sale in Sarjapur Road,"Beautiful 2 BHK apartment for sale in Sarjapur Road, Bangalore. Area: 1139 sqft. Furnished. Floor 9/18. Age: 5 yrs. Amenities: clubhouse, garden, parking, swimming pool."
house,sale,16231000.0,2159,2,2,4,12,0,unfurnished,1,BTM Layout,swimming pool|garden|power backup|lift,2 BHK House for Sale in BTM Layout,"Beautiful 2 BHK house for sale in BTM Layout, Bangalore. Area: 2159 sqft. Unfurnished. Floor 4/12. Age: 0 yrs. Amenities: swimming pool, garden, power backup, lift."
apartment,rent,66000.0,3176,3,3,7,14,12,semi-furnished,2,Vijayanagar,security|power backup|swimming pool|clubhouse,3 BHK Apartment for Rent in Vijayanagar,"Beautiful 3 BHK apartment for rent in Vijayanagar, Bangalore. Area: 3176 sqft. Semi-Furnished. Floor 7/14. Age: 12 yrs. Amenities: security, power backup, swimming pool, clubhouse."
apartment,sale,12813000.0,1527,3,3,8,14,4,semi-furnished,2,BTM Layout,lift|security|garden|swimming pool,3 BHK Apartment for Sale in BTM Layout,"Beautiful 3 BHK apartment for sale in BTM Layout, Bangalore. Area: 1527 sqft. Semi-Furnished. Floor 8/14. Age: 4 yrs. Amenities: lift, security, garden, swimming pool."
apartment,sale,19429000.0,2903,4,4,7,10,14,unfurnished,2,JP Nagar,swimming pool|garden|parking,4 BHK Apartment for Sale in JP Nagar,"Beautiful 4 BHK apartment for sale in JP Nagar, Bangalore. Area: 2903 sqft. Unfurnished. Floor 7/10. Age: 14 yrs. Amenities: swimming pool, garden, parking."
villa,rent,125000.0,2808,2,2,10,17,21,furnished,1,Malleswaram,parking|security|clubhouse,2 BHK Villa for Rent in Malleswaram,"Beautiful 2 BHK villa for rent in Malleswaram, Bangalore. Area: 2808 sqft. Furnished. Floor 10/17. Age: 21 yrs. Amenities: parking, security, clubhouse."
apartment,sale,24864000.0,2450,2,2,13,18,7,furnished,2,Malleswaram,security|power backup|clubhouse|swimming pool,2 BHK Apartment for Sale in Malleswaram,"Beautiful 2 BHK apartment for sale in Malleswaram, Bangalore. Area: 2450 sqft. Furnished. Floor 13/18. Age: 7 yrs. Amenities: security, power backup, clubhouse, swimming pool."
apartment,sale,15541000.0,3143,2,2,10,19,24,unfurnished,0,Electronic City,gym,2 BHK Apartment for Sale in Electronic City,"Beautiful 2 BHK apartment for sale in Electronic City, Bangalore. Area: 3143 sqft. Unfurnished. Floor 10/19. Age: 24 yrs. Amenities: gym."
villa,sale,18679000.0,1329,4,4,6,13,12,semi-furnished,1,Koramangala,swimming pool|security|lift|garden,4 BHK Villa for Sale in Koramangala,"Beautiful 4 BHK villa for sale in Koramangala, Bangalore. Area: 1329 sqft. Semi-Furnished. Floor 6/13. Age: 12 yrs. Amenities: swimming pool, security, lift, garden."
house,sale,22204000.0,2521,1,1,3,7,9,unfurnished,2,Malleswaram,gym|garden|clubhouse|parking|power backup,1 BHK House for Sale in Malleswaram,"Beautiful 1 BHK house for sale in Malleswaram, Bangalore. Area: 2521 sqft. Unfurnished. Floor 3/7. Age: 9 yrs. Amenities: gym, garden, clubhouse, parking, power backup."
house,sale,20737000.0,1861,4,4,7,13,1,unfurnished,0,Indiranagar,lift,4 BHK House for Sale in Indiranagar,"Beautiful 4 BHK house for sale in Indiranagar, Bangalore. Area: 1861 sqft. Unfurnished. Floor 7/13. Age: 1 yrs. Amenities: lift."
apartment,sale,8939000.0,1084,3,3,3,6,0,semi-furnished,0,Basavanagudi,power backup|gym,3 BHK Apartment for Sale in Basavanagudi,"Beautiful 3 BHK apartment for sale in Basavanagudi, Bangalore. Area: 1084 sqft. Semi-Furnished. Floor 3/6. Age: 0 yrs. Amenities: power backup, gym."
apartment,rent,82000.0,3463,1,1,12,12,3,furnished,2,Hebbal,lift|gym|clubhouse,1 BHK Apartment for Rent in Hebbal,"Beautiful 1 BHK apartment for rent in Hebbal, Bangalore. Area: 3463 sqft. Furnished. Floor 12/12. Age: 3 yrs. Amenities: lift, gym, clubhouse."
plot,rent,11000.0,861,2,2,3,12,19,unfurnished,1,BTM Layout,clubhouse|swimming pool|power backup|security,2 BHK Plot for Rent in BTM Layout,"Beautiful 2 BHK plot for rent in BTM Layout, Bangalore. Area: 861 sqft. Unfurnished. Floor 3/12. Age: 19 yrs. Amenities: clubhouse, swimming pool, power backup, security."
apartment,rent,41000.0,1790,2,2,7,17,7,unfurnished,0,HSR Layout,power backup|gym|clubhouse|parking,2 BHK Apartment for Rent in HSR Layout,"Beautiful 2 BHK apartment for rent in HSR Layout, Bangalore. Area: 1790 sqft. Unfurnished. Floor 7/17. Age: 7 yrs. Amenities: power backup, gym, clubhouse, parking."
apartment,sale,5052000.0,1080,1,1,8,16,21,semi-furnished,0,Hennur,security,1 BHK Apartment for Sale in Hennur,"Beautiful 1 BHK apartment for sale in Hennur, Bangalore. Area: 1080 sqft. Semi-Furnished. Floor 8/16. Age: 21 yrs. Amenities: security."
apartment,sale,6111000.0,819,3,3,14,14,4,furnished,2,BTM Layout,lift|security,3 BHK Apartment for Sale in BTM Layout,"Beautiful 3 BHK apartment for sale in BTM Layout, Bangalore. Area: 819 sqft. Furnished. Floor 14/14. Age: 4 yrs. Amenities: lift, security."
plot,rent,63000.0,2951,4,4,5,9,21,furnished,0,Rajajinagar,gym|garden|parking,4 BHK Plot for Rent in Rajajinagar,"Beautiful 4 BHK plot for rent in Rajajinagar, Bangalore. Area: 2951 sqft. Furnished. Floor 5/9. Age: 21 yrs. Amenities: gym, garden, parking."
apartment,sale,19670000.0,3232,2,2,3,18,19,unfurnished,0,Hebbal,swimming pool|security|parking,2 BHK Apartment for Sale in Hebbal,"Beautiful 2 BHK apartment for sale in Hebbal, Bangalore. Area: 3232 sqft. Unfurnished. Floor 3/18. Age: 19 yrs. Amenities: swimming pool, security, parking."
plot,rent,64000.0,3567,3,3,6,16,5,furnished,2,Basavanagudi,parking|security,3 BHK Plot for Rent in Basavanagudi,"Beautiful 3 BHK plot for rent in Basavanagudi, Bangalore. Area: 3567 sqft. Furnished. Floor 6/16. Age: 5 yrs. Amenities: parking, security."
apartment,sale,11218000.0,1938,4,4,0,16,11,unfurnished,0,Hebbal,power backup,4 BHK Apartment for Sale in Hebbal,"Beautiful 4 BHK apartment for sale in Hebbal, Bangalore. Area: 1938 sqft. Unfurnished. Floor 0/16. Age: 11 yrs. Amenities: power backup."
apartment,rent,16000.0,1073,3,3,12,18,3,unfurnished,0,Hennur,swimming pool|garden|parking,3 BHK Apartment for Rent in Hennur,"Beautiful 3 BHK apartment for rent in Hennur, Bangalore. Area: 1073 sqft. Unfurnished. Floor 12/18. Age: 3 yrs. Amenities: swimming pool, garden, parking."
house,sale,15965000.0,1906,3,3,2,13,15,unfurnished,2,Rajajinagar,lift|garden,3 BHK House for Sale in Rajajinagar,"Beautiful 3 BHK house for sale in Rajajinagar, Bangalore. Area: 1906 sqft. Unfurnished. Floor 2/13. Age: 15 yrs. Amenities: lift, garden."
apartment,sale,21712000.0,3462,4,4,2,19,19,furnished,0,Marathahalli,security|swimming pool|gym|lift,4 BHK Apartment for Sale in Marathahalli,"Beautiful 4 BHK apartment for sale in Marathahalli, Bangalore. Area: 3462 sqft. Furnished. Floor 2/19. Age: 19 yrs. Amenities: security, swimming pool, gym, lift."
villa,sale,5340000.0,449,2,2,8,10,21,furnished,2,Banashankari,parking|lift,2 BHK Villa for Sale in Banashankari,"Beautiful 2 BHK villa for sale in Banashankari, Bangalore. Area: 449 sqft. Furnished. Floor 8/10. Age: 21 yrs. Amenities: parking, lift."
house,rent,70000.0,2851,3,3,12,19,17,unfurnished,1,Banashankari,parking,3 BHK House for Rent in Banashankari,"Beautiful 3 BHK house for rent in Banashankari, Bangalore. Area: 2851 sqft. Unfurnished. Floor 12/19. Age: 17 yrs. Amenities: parking."
plot,sale,7254000.0,1891,2,2,8,8,16,unfurnished,2,Marathahalli,clubhouse|garden|power backup,2 BHK Plot for Sale in Marathahalli,"Beautiful 2 BHK plot for sale in Marathahalli, Bangalore. Area: 1891 sqft. Unfurnished. Floor 8/8. Age: 16 yrs. Amenities: clubhouse, garden, power backup."
plot,sale,3507000.0,1068,1,1,14,19,19,unfurnished,0,Electronic City,gym|clubhouse|swimming pool|garden,1 BHK Plot for Sale in Electronic City,"Beautiful 1 BHK plot for sale in Electronic City, Bangalore. Area: 1068 sqft. Unfurnished. Floor 14/19. Age: 19 yrs. Amenities: gym, clubhouse, swimming pool, garden."
apartment,sale,42897000.0,3823,2,2,5,13,3,unfurnished,1,Indiranagar,clubhouse|lift|garden|power backup|swimming pool,2 BHK Apartment for Sale in Indiranagar,"Beautiful 2 BHK apartment for sale in Indiranagar, Bangalore. Area: 3823 sqft. Unfurnished. Floor 5/13. Age: 3 yrs. Amenities: clubhouse, lift, garden, power backup, swimming pool."
house,sale,7118000.0,1009,3,3,13,13,12,furnished,0,Vijayanagar,swimming pool|garden|parking|lift|clubhouse,3 BHK House for Sale in Vijayanagar,"Beautiful 3 BHK house for sale in Vijayanagar, Bangalore. Area: 1009 sqft. Furnished. Floor 13/13. Age: 12 yrs. Amenities: swimming pool, garden, parking, lift, clubhouse."
house,sale,4780000.0,575,3,3,5,5,9,semi-furnished,2,Hebbal,power backup|swimming pool,3 BHK House for Sale in Hebbal,"Beautiful 3 BHK house for sale in Hebbal, Bangalore. Area: 575 sqft. Semi-Furnished. Floor 5/5. Age: 9 yrs. Amenities: power backup, swimming pool."
apartment,rent,50000.0,1671,1,1,11,11,10,furnished,0,HSR Layout,lift|power backup,1 BHK Apartment for Rent in HSR Layout,"Beautiful 1 BHK apartment for rent in HSR Layout, Bangalore. Area: 1671 sqft. Furnished. Floor 11/11. Age: 10 yrs. Amenities: lift, power backup."
apartment,sale,25723000.0,2746,1,1,1,8,10,furnished,1,BTM Layout,lift|garden|power backup,1 BHK Apartment for Sale in BTM Layout,"Beautiful 1 BHK apartment for sale in BTM Layout, Bangalore. Area: 2746 sqft. Furnished. Floor 1/8. Age: 10 yrs. Amenities: lift, garden, power backup."
house,sale,19625000.0,2766,2,2,12,19,13,unfurnished,1,JP Nagar,garden,2 BHK House for Sale in JP Nagar,"Beautiful 2 BHK house for sale in JP Nagar, Bangalore. Area: 2766 sqft. Unfurnished. Floor 12/19. Age: 13 yrs. Amenities: garden."
house,sale,16557000.0,3312,3,3,5,9,8,semi-furnished,2,Electronic City,gym|security|clubhouse|power backup|parking,3 BHK House for Sale in Electronic City,"Beautiful 3 BHK house for sale in Electronic City, Bangalore. Area: 3312 sqft. Semi-Furnished. Floor 5/9. Age: 8 yrs. Amenities: gym, security, clubhouse, power backup, parking."
villa,rent,21000.0,462,1,1,5,15,24,furnished,1,Malleswaram,swimming pool|garden|gym|lift|power backup,1 BHK Villa for Rent in Malleswaram,"Beautiful 1 BHK villa for rent in Malleswaram, Bangalore. Area: 462 sqft. Furnished. Floor 5/15. Age: 24 yrs. Amenities: swimming pool, garden, gym, lift, power backup."
villa,sale,8567000.0,1407,2,2,12,16,16,semi-furnished,0,Electronic City,gym|swimming pool,2 BHK Villa for Sale in Electronic City,"Beautiful 2 BHK villa for sale in Electronic City, Bangalore. Area: 1407 sqft. Semi-Furnished. Floor 12/16. Age: 16 yrs. Amenities: gym, swimming pool."
plot,sale,12566000.0,2088,3,3,4,16,19,furnished,0,HSR Layout,parking|garden|lift|power backup|gym,3 BHK Plot for Sale in HSR Layout,"Beautiful 3 BHK plot for sale in HSR Layout, Bangalore. Area: 2088 sqft. Furnished. Floor 4/16. Age: 19 yrs. Amenities: parking, garden, lift, power backup, gym."
apartment,sale,27840000.0,2994,3,3,6,11,8,semi-furnished,0,Basavanagudi,clubhouse|garden,3 BHK Apartment for Sale in Basavanagudi,"Beautiful 3 BHK apartment for sale in Basavanagudi, Bangalore. Area: 2994 sqft. Semi-Furnished. Floor 6/11. Age: 8 yrs. Amenities: clubhouse, garden."
villa,sale,6865000.0,894,3,3,6,18,16,unfurnished,0,BTM Layout,gym|parking,3 BHK Villa for Sale in BTM Layout,"Beautiful 3 BHK villa for sale in BTM Layout, Bangalore. Area: 894 sqft. Unfurnished. Floor 6/18. Age: 16 yrs. Amenities: gym, parking."
apartment,rent,32000.0,1033,3,3,9,11,3,semi-furnished,0,Basavanagudi,gym|lift,3 BHK Apartment for Rent in Basavanagudi,"Beautiful 3 BHK apartment for rent in Basavanagudi, Bangalore. Area: 1033 sqft. Semi-Furnished. Floor 9/11. Age: 3 yrs. Amenities: gym, lift."
plot,sale,14234000.0,3952,3,3,2,4,9,unfurnished,1,Bannerghatta Road,lift,3 BHK Plot for Sale in Bannerghatta Road,"Beautiful 3 BHK plot for sale in Bannerghatta Road, Bangalore. Area: 3952 sqft. Unfurnished. Floor 2/4. Age: 9 yrs. Amenities: lift."
plot,sale,25591000.0,3788,2,2,12,18,23,semi-furnished,0,Rajajinagar,security|clubhouse|power backup|lift|parking,2 BHK Plot for Sale in Rajajinagar,"Beautiful 2 BHK plot for sale in Rajajinagar, Bangalore. Area: 3788 sqft. Semi-Furnished. Floor 12/18. Age: 23 yrs. Amenities: security, clubhouse, power backup, lift, parking."
apartment,rent,42000.0,2188,1,1,2,16,20,unfurnished,1,Whitefield,swimming pool|parking|garden|power backup,1 BHK Apartment for Rent in Whitefield,"Beautiful 1 BHK apartment for rent in Whitefield, Bangalore. Area: 2188 sqft. Unfurnished. Floor 2/16. Age: 20 yrs. Amenities: swimming pool, parking, garden, power backup."
apartment,sale,12958000.0,1622,2,2,13,17,18,unfurnished,1,Rajajinagar,security,2 BHK Apartment for Sale in Rajajinagar,"Beautiful 2 BHK apartment for sale in Rajajinagar, Bangalore. Area: 1622 sqft. Unfurnished. Floor 13/17. Age: 18 yrs. Amenities: security."
plot,sale,25046000.0,2981,1,1,5,16,14,furnished,2,Malleswaram,parking|clubhouse|lift|swimming pool,1 BHK Plot for Sale in Malleswaram,"Beautiful 1 BHK plot for sale in Malleswaram, Bangalore. Area: 2981 sqft. Furnished. Floor 5/16. Age: 14 yrs. Amenities: parking, clubhouse, lift, swimming pool."
apartment,rent,70000.0,2770,1,1,2,4,21,semi-furnished,2,BTM Layout,clubhouse|gym|garden|swimming pool,1 BHK Apartment for Rent in BTM Layout,"Beautiful 1 BHK apartment for rent in BTM Layout, Bangalore. Area: 2770 sqft. Semi-Furnished. Floor 2/4. Age: 21 yrs. Amenities: clubhouse, gym, garden, swimming pool."
house,rent,16000.0,1070,2,2,11,12,23,unfurnished,0,Yelahanka,parking|garden|security|power backup,2 BHK House for Rent in Yelahanka,"Beautiful 2 BHK house for rent in Yelahanka, Bangalore. Area: 1070 sqft. Unfurnished. Floor 11/12. Age: 23 yrs. Amenities: parking, garden, security, power backup."
apartment,sale,16519000.0,3018,3,3,6,17,8,unfurnished,1,Hennur,power backup|clubhouse|lift|security|garden,3 BHK Apartment for Sale in Hennur,"Beautiful 3 BHK apartment for sale in Hennur, Bangalore. Area: 3018 sqft. Unfurnished. Floor 6/17. Age: 8 yrs. Amenities: power backup, clubhouse, lift, security, garden."
apartment,sale,23306000.0,2975,3,3,7,14,24,furnished,2,JP Nagar,garden|gym,3 BHK Apartment for Sale in JP Nagar,"Beautiful 3 BHK apartment for sale in JP Nagar, Bangalore. Area: 2975 sqft. Furnished. Floor 7/14. Age: 24 yrs. Amenities: garden, gym."
apartment,sale,30243000.0,3789,2,2,0,5,24,unfurnished,2,Koramangala,parking|swimming pool|lift,2 BHK Apartment for Sale in Koramangala,"Beautiful 2 BHK apartment for sale in Koramangala, Bangalore. Area: 3789 sqft. Unfurnished. Floor 0/5. Age: 24 yrs. Amenities: parking, swimming pool, lift."
house,sale,11917000.0,1630,3,3,3,8,23,semi-furnished,0,HSR Layout,clubhouse|swimming pool|parking|garden,3 BHK House for Sale in HSR Layout,"Beautiful 3 BHK house for sale in HSR Layout, Bangalore. Area: 1630 sqft. Semi-Furnished. Floor 3/8. Age: 23 yrs. Amenities: clubhouse, swimming pool, parking, garden."
